Sample	fastqc_percent_duplicates	fastqc_percent_gc	fastqc_avg_sequence_length	fastqc_total_sequences
temp | CRR214587.merged	96.6832240966	53.0	457.856331233	63013.0
temp | CRR214588.merged	96.7890694155	51.0	452.813140687	70042.0
temp | CRR214589.merged	97.4518376252	53.0	450.393655286	118713.0
temp | CRR214590.merged	97.7101681345	52.0	471.473270045	43715.0
temp | CRR214591.merged	97.1045111868	54.0	463.939643118	65792.0
temp | CRR214592.merged	96.5596382394	51.0	456.49179676	88014.0
temp | CRR214593.merged	95.3088374075	52.0	457.260768973	32849.0
temp | CRR214594.merged	96.6019734693	52.0	461.278023917	76515.0
temp | CRR214595.merged	96.5805228685	51.0	456.886905767	53283.0
temp | CRR214596.merged	95.6165138879	53.0	455.868478186	58036.0
temp | CRR214597.merged	97.0264317181	52.0	460.425463386	96248.0
temp | CRR214598.merged	96.5622410078	53.0	458.838140229	60330.0
temp | CRR214599.merged	95.6268009783	53.0	451.821488244	41297.0
temp | CRR214600.merged	96.336557163	53.0	455.945408041	37533.0
temp | CRR214601.merged	95.3594126671	52.0	455.925131492	36504.0
temp | CRR214602.merged	97.1525346481	51.0	457.29705206	96542.0
temp | CRR214603.merged	96.3460460823	52.0	453.358506115	60674.0
temp | CRR214604.merged	95.2474545689	52.0	459.423894832	31036.0
temp | CRR214605.merged	96.9665628346	51.0	459.905200526	82184.0
temp | CRR214606.merged	96.5521301108	51.0	458.909245337	59457.0
temp | CRR214607.merged	95.036597907	53.0	454.848496764	33062.0
temp | CRR214608.merged	95.985881116	51.0	460.603019038	53262.0
temp | CRR214609.merged	95.8016656806	51.0	457.131047194	43946.0
temp | CRR214610.merged	97.3674496318	53.0	471.700025257	51471.0
temp | CRR214611.merged	95.8326836114	51.0	453.905368002	51304.0
temp | CRR214612.merged	96.2938352054	55.0	452.631355569	46652.0
temp | CRR214613.merged	96.7314324424	51.0	454.017505235	64952.0
temp | CRR214614.merged	95.7031429227	52.0	455.409566414	43590.0
temp | CRR214615.merged	96.3711061529	52.0	459.756489745	93224.0
temp | CRR214616.merged	96.8230827936	54.0	458.347357298	102206.0
temp | CRR214617.merged	96.4395033591	51.0	457.456398161	75467.0
temp | CRR214618.merged	95.5406307359	53.0	456.956741198	47944.0
temp | CRR214619.merged	95.249972888	52.0	452.013104146	55326.0
temp | CRR214620.merged	95.5761260521	52.0	454.823793613	54771.0
temp | CRR214621.merged	95.6454789615	52.0	458.925550582	27925.0
temp | CRR214622.merged	95.9089230234	51.0	461.146826862	46027.0
temp | CRR214623.merged	96.0281561624	53.0	458.223215799	76715.0
temp | CRR214624.merged	95.8057162156	52.0	453.340271035	47374.0
temp | CRR214625.merged	96.9589293258	52.0	454.260727865	132552.0
temp | CRR214626.merged	96.1659222571	52.0	452.955379649	45226.0
temp | CRR214627.merged	94.7836796313	53.0	456.220293195	25171.0
temp | CRR214628.merged	96.2489203307	51.0	454.435795665	48626.0
temp | CRR214629.merged	95.8431184326	52.0	454.001988446	58337.0
temp | CRR214630.merged	95.9315350838	51.0	454.067927234	44636.0
temp | CRR214631.merged	95.7717633068	52.0	457.856394107	45409.0
temp | CRR214632.merged	96.1139418107	52.0	452.055697091	54168.0
temp | CRR214633.merged	96.6270368076	52.0	453.250936661	101691.0
temp | CRR214634.merged	95.2215297934	52.0	457.165741847	46856.0
temp | CRR214635.merged	95.519363369	53.0	451.777129723	40463.0
temp | CRR214636.merged	96.5870867175	52.0	451.319987967	73134.0
temp | CRR214637.merged	97.229337199	50.0	458.098488234	91747.0
temp | CRR214638.merged	95.8588725505	52.0	459.113575289	66238.0
temp | CRR214639.merged	95.3854387599	52.0	451.838847153	50449.0
temp | CRR214640.merged	96.5989481283	54.0	455.772073837	48485.0
temp | CRR214641.merged	96.2415170309	51.0	455.321784589	61594.0
temp | CRR214642.merged	95.7257902154	51.0	453.966881417	49670.0
temp | CRR214643.merged	95.1489579338	54.0	456.824600435	39105.0
temp | CRR214644.merged	96.8790104881	52.0	452.937679781	90388.0
temp | CRR214645.merged	95.5616288603	52.0	453.123858978	36590.0
temp | CRR214646.merged	95.5324961546	51.0	456.224247572	43559.0
temp | CRR214647.merged	96.3437867923	51.0	460.540361768	46715.0
temp | CRR214648.merged	95.1474858628	51.0	460.75643181	39258.0
temp | CRR214649.merged	96.1059218282	52.0	455.557377347	55135.0
temp | CRR214650.merged	96.9596174835	52.0	451.28686139	76964.0
temp | CRR214651.merged	96.5455124919	52.0	454.800074826	72167.0
temp | CRR214652.merged	96.0201443979	52.0	455.653326203	67314.0
temp | CRR214653.merged	96.4801998444	54.0	458.721733077	48838.0
temp | CRR214654.merged	93.9960470466	53.0	451.767099763	30863.0
temp | CRR214655.merged	96.5586204294	52.0	451.744399582	79503.0
temp | CRR214656.merged	95.8169129721	52.0	450.748214286	48720.0
temp | CRR214657.merged	95.7704070746	53.0	455.343156547	42179.0
temp | CRR214658.merged	95.8935593342	52.0	453.274576697	55693.0
temp | CRR214659.merged	96.8006242684	50.0	460.090659384	64075.0
temp | CRR214660.merged	96.3043998496	53.0	456.140696045	58502.0
temp | CRR214661.merged	96.0664454406	51.0	455.44778871	51531.0
temp | CRR214662.merged	96.786295636	53.0	458.827269204	64505.0
temp | CRR214663.merged	95.9756416117	53.0	453.172778032	61252.0
temp | CRR214664.merged	96.8064671042	50.0	458.283962969	74964.0
temp | CRR214665.merged	94.1079934355	52.0	456.373133731	49966.0
temp | CRR214666.merged	96.440397351	53.0	460.862974904	68856.0
temp | CRR214667.merged	96.1534324377	51.0	462.535335499	46483.0
temp | CRR214668.merged	96.4583443955	50.0	455.130727977	56499.0
temp | CRR214669.merged	96.805570383	52.0	455.468915697	84303.0
temp | CRR214670.merged	96.1543479679	52.0	453.948708331	61316.0
temp | CRR214671.merged	96.6974695363	51.0	457.564925427	83542.0
temp | CRR214672.merged	96.7497598539	51.0	457.98241028	63503.0
temp | CRR214673.merged	96.6136584376	53.0	454.881289593	68983.0
